animal,video_folder,session,trial_index,door_open_sec,door_close_sec,frame_id_start,frame_id_end,frame_count
rory,2025_12_23_16_57_09,session_2025-12-23_16-54-03,0,1766527126.853,1766527851.547,15186,145628,130443
rory,2025_12_23_16_57_09,session_2025-12-23_16-54-03,1,1766527905.449,1766528119.092,155332,193782,38451
rory,2025_12_23_16_57_09,session_2025-12-23_16-54-03,2,1766528171.911,1766528290.239,203294,224592,21299
rory,2025_12_23_16_57_09,session_2025-12-23_16-54-03,3,1766528355.395,1766528513.233,236321,264731,28411
rory,2025_12_23_16_57_09,session_2025-12-23_16-54-03,4,1766528559.083,1766528777.706,272985,312336,39352
rory,2025_12_23_16_57_09,session_2025-12-23_16-54-03,5,1766528822.102,1766529064.282,320328,363919,43592
rory,2025_12_23_16_57_09,session_2025-12-23_16-54-03,6,1766529114.736,1766529344.166,373001,414297,41297
rory,2025_12_23_16_57_09,session_2025-12-23_16-54-03,7,1766529389.474,1766529446.338,422454,432688,10235
rory,2025_12_23_16_57_09,session_2025-12-23_16-54-03,8,1766529490.575,1766529684.535,440652,475558,34907
rory,2025_12_24_13_29_06,session_2025-12-24_13-25-05,0,1766601071.055,1766601814.18,12506,146266,133761
rory,2025_12_24_13_47_10,session_2025-12-24_13-47-28,0,1766602167.155,1766602630.905,22527,106001,83475
rory,2025_12_24_13_47_10,session_2025-12-24_13-47-28,1,1766602682.361,1766602739.49,115263,125546,10284
rory,2025_12_24_14_26_25,session_2025-12-24_14-24-17,0,1766604482.971,1766605430.712,15044,185635,170592
rory,2025_12_24_14_26_25,session_2025-12-24_14-24-17,1,1766605477.897,1766605548.062,194129,206757,12629
rory,2025_12_24_14_26_25,session_2025-12-24_14-24-17,2,1766605592.256,1766605633.053,214713,222056,7344
rory,2025_12_24_14_26_25,session_2025-12-24_14-24-17,3,1766605677.2,1766605781.655,230003,248804,18802
rory,2025_12_24_14_26_25,session_2025-12-24_14-24-17,4,1766605825.523,1766605899.168,256701,269956,13256
rory,2025_12_30_16_11_46,session_2025-12-30_16-08-34,0,1767129184.708,1767129406.063,11099,50941,39843
rory,2025_12_30_16_11_46,session_2025-12-30_16-08-34,1,1767129457.557,1767129762.414,60211,115084,54874
rory,2025_12_30_16_11_46,session_2025-12-30_16-08-34,2,1767129809.358,1767129879.451,123535,136151,12617
rory,2025_12_30_16_11_46,session_2025-12-30_16-08-34,3,1767129924.332,1767129952.374,144230,149277,5048
rory,2025_12_30_16_42_13,session_2025-12-30_16-40-55,0,1767131013.251,1767131053.538,12419,19670,7252
rory,2025_12_30_16_42_13,session_2025-12-30_16-40-55,1,1767131106.969,1767131116.791,29289,31055,1767
rory,2025_12_30_16_42_13,session_2025-12-30_16-40-55,2,1767131168.475,1767131185.253,40359,43379,3021
rory,2025_12_30_16_42_13,session_2025-12-30_16-40-55,3,1767131230.211,1767131243.635,51472,53887,2416
rory,2025_12_30_16_42_13,session_2025-12-30_16-40-55,4,1767131295.387,1767131304.095,63203,64770,1568
rory,2025_12_30_16_42_13,session_2025-12-30_16-40-55,5,1767131358.203,1767131372.114,74508,77013,2506
rory,2025_12_30_16_42_13,session_2025-12-30_16-40-55,6,1767131422.732,1767131454.504,86125,91843,5719
rory,2025_12_30_16_42_13,session_2025-12-30_16-40-55,7,1767131498.85,1767131520.292,99826,103685,3860
rory,2025_12_30_16_42_13,session_2025-12-30_16-40-55,8,1767131564.508,1767131574.557,111645,113453,1809
rory,2025_12_30_16_42_13,session_2025-12-30_16-40-55,9,1767131618.214,1767131647.441,121312,126572,5261
rory,2025_12_30_16_42_13,session_2025-12-30_16-40-55,10,1767131691.712,1767131720.558,134541,139732,5192
rory,2025_12_30_16_42_13,session_2025-12-30_16-40-55,11,1767131771.611,1767131828.314,148923,159128,10206
rory,2025_12_30_17_01_57,session_2025-12-30_17-01-00,0,1767132185.918,1767132204.939,10358,13781,3424
rory,2025_12_30_17_01_57,session_2025-12-30_17-01-00,1,1767132249.429,1767132257.929,21790,23319,1530
rory,2025_12_30_17_01_57,session_2025-12-30_17-01-00,2,1767132308.578,1767132364.913,32437,42576,10140
rory,2025_12_30_17_01_57,session_2025-12-30_17-01-00,3,1767132411.078,1767132420.89,50886,52651,1766
rory,2025_12_30_17_01_57,session_2025-12-30_17-01-00,4,1767132471.21,1767132510.177,61710,68723,7014
rory,2025_12_30_17_01_57,session_2025-12-30_17-01-00,5,1767132563.965,1767132585.98,78406,82367,3962
rory,2025_12_30_17_01_57,session_2025-12-30_17-01-00,6,1767132639.52,1767132647.243,92005,93395,1391
rory,2025_12_30_17_01_57,session_2025-12-30_17-01-00,7,1767132694.6,1767132756.782,101920,113111,11192
rory,2025_12_30_17_01_57,session_2025-12-30_17-01-00,8,1767132807.508,1767132859.564,122243,131612,9370
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,0,1767214142.829,1767214259.769,12685,33733,21049
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,1,1767214313.269,1767214341.387,43364,48424,5061
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,2,1767214394.771,1767214428.405,58034,64087,6054
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,3,1767214477.349,1767214491.208,72898,75392,2495
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,4,1767214535.484,1767214559.718,83363,87724,4362
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,5,1767214611.208,1767214640.901,96993,102336,5344
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,6,1767214695.03,1767214715.496,112081,115763,3683
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,7,1767214763.126,1767214782.266,124338,127782,3445
rory,2025_12_31_15_47_43,session_2025-12-31_15-46-11,8,1767214832.941,1767214860.732,136904,141906,5003
