animal,video_folder,session,trial_index,door_open_sec,door_close_sec,frame_id_start,frame_id_end,frame_count
wilfred,2026_01_01_14_03_49,session_2026-01-01_13-57-04,0,1767296308.843,1767296556.238,372485,417014,44530
wilfred,2026_01_01_14_03_49,session_2026-01-01_13-57-04,1,1767296601.499,1767296945.683,425162,487114,61953
wilfred,2026_01_01_14_03_49,session_2026-01-01_13-57-04,2,1767296997.077,1767297073.779,496366,510171,13806
wilfred,2026_01_02_15_56_08,session_2026-01-02_15-54-37,0,1767387451.269,1767387810.947,13201,77942,64742
wilfred,2026_01_02_15_56_08,session_2026-01-02_15-54-37,1,1767387866.703,1767387926.348,87978,98713,10736
wilfred,2026_01_02_15_56_08,session_2026-01-02_15-54-37,2,1767387974.546,1767388051.858,107390,121305,13916
wilfred,2026_01_02_15_56_08,session_2026-01-02_15-54-37,3,1767388105.588,1767388142.523,130977,137625,6649
wilfred,2026_01_02_15_56_08,session_2026-01-02_15-54-37,4,1767388188.885,1767388440.478,145971,191256,45286
wilfred,2026_01_02_15_56_08,session_2026-01-02_15-54-37,5,1767388485.128,1767389356.996,199294,356227,156934
wilfred,2026_01_03_15_03_57,session_2026-01-03_14-58-18,0,1767472209.381,1767472459.114,280109,325060,44952
wilfred,2026_01_03_15_03_57,session_2026-01-03_14-58-18,1,1767472504.628,1767473020.966,333253,426192,92940
wilfred,2026_01_03_15_03_57,session_2026-01-03_14-58-18,2,1767473066.49,1767473123.445,434388,444638,10251
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,0,1767562594.589,1767562726.21,10252,33943,23692
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,1,1767562779.538,1767562797.255,43542,46730,3189
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,2,1767562843.232,1767562993.845,55007,82116,27110
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,3,1767563046.877,1767563835.866,91663,233679,142017
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,4,1767563888.84,1767564682.357,243215,386046,142832
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,5,1767564727.902,1767565204.153,394245,479968,85724
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,6,1767565249.912,1767565328.908,488206,502424,14219
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,7,1767565382.756,1767565399.489,512118,515129,3012
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,8,1767565492.207,1767565517.043,531819,536288,4470
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,9,1767565562.055,1767565579.791,544391,547582,3192
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,10,1767565624.413,1767565644.07,555615,559152,3538
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,11,1767565689.079,1767565997.109,567255,622698,55444
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,12,1767566057.984,1767566088.639,633657,639174,5518
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,13,1767566151.967,1767566233.973,650574,665333,14760
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,14,1767566291.101,1767566308.412,675617,678732,3116
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,15,1767566360.666,1767566374.034,688139,690544,2406
wilfred,2026_01_04_16_35_15,session_2026-01-04_16-29-11,16,1767566418.486,1767566440.503,698546,702508,3963
